[*] '/home/sense/Desktop/Lab03/gotoku.local'
    Arch:     amd64-64-little
    RELRO:    Partial RELRO
    Stack:    No canary found
    NX:       NX enabled
    PIE:      PIE enabled
main = 0x16ba0
Func         GOT Offset Symbol Offset
gop_1        1b2b0      12590     
gop_2        1c510      14a50     
gop_3        1b240      124b0     
gop_4        1c538      14aa0     
gop_5        1b408      12840     
gop_6        1c6b0      14d90     
gop_7        1b3d8      127e0     
gop_8        1c1a0      14370     
gop_9        1d4c0      169b0     
gop_10       1c7f8      15020     
gop_11       1b528      12a80     
gop_12       1c830      15090     
gop_13       1b560      12af0     
gop_14       1c868      15100     
gop_15       1b818      13060     
gop_16       1cad8      155e0     
gop_17       1b898      13160     
gop_18       1cb70      15710     
gop_19       1b888      13140     
gop_20       1b048      120c0     
gop_21       1c348      146c0     
gop_22       1b078      12120     
gop_23       1c378      14720     
gop_24       1b0a8      12180     
gop_25       1c398      14760     
gop_26       1b318      12660     
gop_27       1c610      14c50     
gop_28       1b390      12750     
gop_29       1c698      14d60     
gop_30       1d190      16350     
gop_31       1bed8      13de0     
gop_32       1d1e8      16400     
gop_33       1bee8      13e00     
gop_34       1d210      16450     
gop_35       1bf40      13eb0     
gop_36       1d250      164d0     
gop_37       1c148      142c0     
gop_38       1d438      168a0     
gop_39       1c1e8      14400     
gop_40       1b9b0      13390     
gop_41       1cc78      15920     
gop_42       1b9c0      133b0     
gop_43       1ccd8      159e0     
gop_44       1b9e0      133f0     
gop_45       1ccf0      15a10     
gop_46       1ba10      13450     
gop_47       1cd20      15a70     
gop_48       1bcb8      139a0     
gop_49       1cfc0      15fb0     
gop_50       1b9b8      133a0     
gop_51       1ccb8      159a0     
gop_52       1ba00      13430     
gop_53       1cd00      15a30     
gop_54       1b978      13320     
gop_55       1cc58      158e0     
gop_56       1b988      13340     
gop_57       1cc70      15910     
gop_58       1ba28      13480     
gop_59       1cd48      15ac0     
gop_60       1c7d0      14fd0     
gop_61       1b530      12a90     
gop_62       1c838      150a0     
gop_63       1b4c0      129b0     
gop_64       1c768      14f00     
gop_65       1b4e0      129f0     
gop_66       1c780      14f30     
gop_67       1b568      12b00     
gop_68       1c870      15110     
gop_69       1b4f8      12a20     
gop_70       1c380      14730     
gop_71       1b050      120d0     
gop_72       1c2d8      145e0     
gop_73       1b008      12040     
gop_74       1c300      14630     
gop_75       1b018      12060     
gop_76       1c3a0      14770     
gop_77       1b0e0      121f0     
gop_78       1c350      146d0     
gop_79       1b040      120b0     
gop_80       1d218      16460     
gop_81       1bea8      13d80     
gop_82       1d158      162e0     
gop_83       1bec0      13db0     
gop_84       1d178      16320     
gop_85       1bf50      13ed0     
gop_86       1d260      164f0     
gop_87       1bee0      13df0     
gop_88       1d1e0      163f0     
gop_89       1bdb0      13b90     
gop_90       1cc50      158d0     
gop_91       1b980      13330     
gop_92       1cc68      15900     
gop_93       1ba20      13470     
gop_94       1cd40      15ab0     
gop_95       1b9c8      133c0     
gop_96       1cc98      15960     
gop_97       1b8e0      131f0     
gop_98       1cba0      15770     
gop_99       1ba18      13460     
gop_100      1d038      160a0     
gop_101      1bcd8      139e0     
gop_102      1cfb8      15fa0     
gop_103      1be70      13d10     
gop_104      1d108      16240     
gop_105      1bde0      13bf0     
gop_106      1d140      162b0     
gop_107      1beb0      13d90     
gop_108      1d150      162d0     
gop_109      1beb8      13da0     
gop_110      1d478      16920     
gop_111      1c140      142b0     
gop_112      1d480      16930     
gop_113      1c158      142e0     
gop_114      1d430      16890     
gop_115      1c2b0      14590     
gop_116      1d568      16b00     
gop_117      1c248      144c0     
gop_118      1d590      16b50     
gop_119      1c2d0      145d0     
gop_120      1c660      14cf0     
gop_121      1b340      126b0     
gop_122      1c620      14c70     
gop_123      1b358      126e0     
gop_124      1c640      14cb0     
gop_125      1b308      12640     
gop_126      1c750      14ed0     
gop_127      1b468      12900     
gop_128      1c700      14e30     
gop_129      1b480      12930     
gop_130      1cb00      15630     
gop_131      1b858      130e0     
gop_132      1cb18      15660     
gop_133      1b810      13050     
gop_134      1cb28      15680     
gop_135      1b820      13070     
gop_136      1cad0      155d0     
gop_137      1b948      132c0     
gop_138      1cc10      15850     
gop_139      1b900      13230     
gop_140      1be50      13cd0     
gop_141      1cff0      16010     
gop_142      1bd00      13a30     
gop_143      1d008      16040     
gop_144      1bcb0      13990     
gop_145      1d030      16090     
gop_146      1bcd0      139d0     
gop_147      1cfb0      15f90     
gop_148      1be68      13d00     
gop_149      1d100      16230     
gop_150      1bda0      13b70     
gop_151      1d148      162c0     
gop_152      1be88      13d40     
gop_153      1d120      16270     
gop_154      1be28      13c80     
gop_155      1d130      16290     
gop_156      1be08      13c40     
gop_157      1d0e0      161f0     
gop_158      1bf10      13e50     
gop_159      1d230      16490     
gop_160      1d5a8      16b80     
gop_161      1c2b8      145a0     
gop_162      1d580      16b30     
gop_163      1c278      14520     
gop_164      1d598      16b60     
gop_165      1c260      144f0     
gop_166      1d558      16ae0     
gop_167      1c388      14740     
gop_168      1b080      12130     
gop_169      1c250      144d0     
gop_170      1b4b0      12990     
gop_171      1c738      14ea0     
gop_172      1b460      128f0     
gop_173      1c748      14ec0     
gop_174      1b440      128b0     
gop_175      1c720      14e70     
gop_176      1b520      12a70     
gop_177      1c840      150b0     
gop_178      1b428      12880     
gop_179      1c828      15080     
gop_180      1cc18      15860     
gop_181      1b930      13290     
gop_182      1cc30      15890     
gop_183      1b918      13260     
gop_184      1cbf8      15820     
gop_185      1b9d8      133e0     
gop_186      1cd08      15a40     
gop_187      1b908      13240     
gop_188      1ccf8      15a20     
gop_189      1ba60      134f0     
gop_190      1d128      16280     
gop_191      1be00      13c30     
gop_192      1d0d8      161e0     
gop_193      1bf08      13e40     
gop_194      1d228      16480     
gop_195      1bde8      13c00     
gop_196      1d208      16440     
gop_197      1bf80      13f30     
gop_198      1d248      164c0     
gop_199      1bf48      13ec0     
gop_200      1ce50      15cd0     
gop_201      1bc18      13860     
gop_202      1ce70      15d10     
gop_203      1bb88      13740     
gop_204      1d018      16060     
gop_205      1bcf8      13a20     
gop_206      1cfa8      15f80     
gop_207      1bd20      13a70     
gop_208      1d060      160f0     
gop_209      1bd30      13a90     
gop_210      1b780      12f30     
gop_211      1c9d0      153d0     
gop_212      1b718      12e60     
gop_213      1cb38      156a0     
gop_214      1b848      130c0     
gop_215      1cae0      155f0     
gop_216      1b868      13100     
gop_217      1cb60      156f0     
gop_218      1b880      13130     
gop_219      1cb68      15700     
gop_220      1c568      14b00     
gop_221      1b220      12470     
gop_222      1c578      14b20     
gop_223      1b238      124a0     
gop_224      1c4f8      14a20     
gop_225      1b360      126f0     
gop_226      1c650      14cd0     
gop_227      1b310      12650     
gop_228      1c668      14d00     
gop_229      1b368      12700     
gop_230      1d3a8      16780     
gop_231      1c0b0      14190     
gop_232      1d340      166b0     
gop_233      1c0b8      141a0     
gop_234      1d368      16700     
gop_235      1c048      140c0     
gop_236      1d4a0      16970     
gop_237      1c170      14310     
gop_238      1d440      168b0     
gop_239      1c180      14330     
gop_240      1bbb0      13790     
gop_241      1ceb0      15d90     
gop_242      1bbd8      137e0     
gop_243      1ce48      15cc0     
gop_244      1bc10      13850     
gop_245      1ce68      15d3c     
gop_246      1bb80      13730     
gop_247      1d010      16050     
